@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,63,2,0,96.923077,3.076923,0,0.957039,0.021374,0.117394,5.972647,27.79438,122.501484,12.272595,110.22889,1.884638,0.188809,1.695829,116.484724,1.792073,6132.666364,1,24,0,0,1,41,0,0,1,1,1,1,1,1,0.969231,0.006472,0.993528,0.030769,0.971154,0.969231,0.969536,0.961333,0.996923,0.993205,0.95991,0.969231,0.001,0.002,0,0,0,0,9903,137058,17520,98.461538,27.307692,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,586,66,64,2,0,96.969697,3.030303,0,0.958015,0.018763,0.123323,5.226493,29.094567,125.607217,14.929783,110.677435,1.90314,0.226209,1.676931,119.938662,1.817252,6321.324692,1,24,0,0,1,42,0,0,1,1,1,1,1,1,0.969697,0.00418,0.99582,0.030303,0.975758,0.969697,0.970298,0.965594,0.996435,0.991644,0.954365,0.969697,0.001,0.002,0,0,0,0,9903,136829,17749,96.969697,25.378788,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,586,66,62,4,0,93.939394,6.060606,0,0.91552,0.034444,0.170128,9.59444,40.136788,125.607217,29.19135,96.415868,1.90314,0.442293,1.460846,115.250197,1.746215,6074.220835,1,24,0.02381,1,0.97619,41,0,0,0.96,1,0.979592,0.968061,0.999008,0.998333,0.939394,0.023696,0.976304,0.060606,0.939158,0.939394,0.938934,0.916927,0.987427,0.969347,0.941294,0.939394,0.001,0.002,0,0.0156,0,15.6001,9903,136829,17749,95.454545,27.651515,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,61,4,0,93.846154,6.153846,0,0.913247,0.035279,0.156821,9.858076,37.129192,122.501484,33.625506,88.875978,1.884638,0.517315,1.367323,111.301069,1.712324,5859.758278,0.958333,23,0.04878,2,0.95122,39,0.041667,1,0.92,0.958333,0.938776,0.902247,0.992886,0.988095,0.938462,0.027242,0.972758,0.061538,0.939692,0.938462,0.938341,0.915069,0.993808,0.983724,0.93213,0.938462,0.001,0.002,0,0,0,0,9903,137058,17520,98.461538,27.692308,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,60,5,0,92.307692,7.692308,0,0.89145,0.042015,0.170556,11.740329,40.38113,122.501484,557.496981,-434.995496,1.884638,8.576877,-6.692238,109.77117,1.688787,5779.212392,0.958333,23,0.02439,1,0.97561,40,0.041667,1,0.958333,0.958333,0.958333,0.933943,0.998984,0.998333,0.923077,0.032685,0.967315,0.076923,0.927004,0.923077,0.921976,0.895932,0.965176,0.954234,0.916346,0.923077,0.001,0.002,0,0,0,0,9903,137058,17520,95.384615,29.615385,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,63,2,0,96.923077,3.076923,0,0.956868,0.026998,0.134459,7.544,31.834813,122.501484,25.274351,97.227134,1.884638,0.388836,1.495802,114.070934,1.754937,6005.585616,1,24,0,0,1,41,0,0,1,1,1,1,1,1,0.969231,0.006472,0.993528,0.030769,0.969231,0.969231,0.969231,0.962759,0.997273,0.992726,0.947619,0.969231,0.001,0.002,0,0,0,0,9903,137058,17520,96.923077,27.307692,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,58,7,0,89.230769,10.769231,0,0.848686,0.051898,0.206258,14.502114,48.833971,122.501484,42.892483,79.609001,1.884638,0.659884,1.224754,106.953383,1.645437,5630.862106,0.958333,23,0,0,1,41,0.041667,1,1,0.958333,0.978723,0.967221,1,1,0.892308,0.036506,0.963494,0.107692,0.895318,0.892308,0.889092,0.858484,0.974919,0.947726,0.870342,0.892308,0.001,0.002,0.0156,0,15.6001,0,9903,137058,17520,95.384615,28.461538,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,60,5,0,92.307692,7.692308,0,0.891991,0.040475,0.182771,11.298886,43.225503,122.78741,36.787294,86.000116,1.889037,0.565958,1.323079,110.425355,1.698852,5815.119147,1,24,0.04878,2,0.95122,39,0,0,0.923077,1,0.96,0.937043,1,1,0.923077,0.031652,0.968348,0.076923,0.930444,0.923077,0.917892,0.897333,0.981589,0.95874,0.913879,0.923077,0.001,0.002,0,0,0,0,9903,137058,17520,95.384615,26.923077,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,62,3,0,95.384615,4.615385,0,0.93594,0.02814,0.143638,7.81844,33.790009,124.441594,38.482555,85.95904,1.914486,0.592039,1.322447,115.352366,1.774652,6083.544209,1,23,0,0,1,42,0,0,1,1,1,1,1,1,0.953846,0.015939,0.984061,0.046154,0.955656,0.953846,0.954033,0.939975,0.989067,0.968718,0.946717,0.953846,0.001,0.002,0,0,0,0,9903,137058,17520,96.923077,27.692308,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,60,5,0,92.307692,7.692308,0,0.893443,0.048,0.198735,13.336055,46.751234,124.441594,59.703743,64.737851,1.914486,0.918519,0.995967,110.570358,1.701082,5831.346907,0.956522,22,0.02381,1,0.97619,41,0.043478,1,0.956522,0.956522,0.956522,0.932712,0.97205,0.907205,0.923077,0.030256,0.969744,0.076923,0.922645,0.923077,0.92246,0.893046,0.963903,0.916843,0.928538,0.923077,0.001,0.002,0,0,0,0,9903,137058,17520,93.846154,27.692308,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,587,65,64,1,0,98.461538,1.538462,0,0.97864,0.010338,0.076975,2.879507,18.158648,123.799654,3.524874,120.27478,1.90461,0.054229,1.850381,120.814958,1.858692,6368.010311,1,24,0,0,1,41,0,0,1,1,1,1,1,1,0.984615,0.002159,0.997841,0.015385,0.986325,0.984615,0.984803,0.981917,1,1,0.976673,0.984615,0.001,0.002,0.0156,0,15.6001,0,9903,137058,17520,100,26.153846,?,?,?,?,?,?,?,?,?,?,?,?,?,?
learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161104.1051,586,66,60,6,0,90.909091,9.090909,0,0.873966,0.044581,0.173403,12.418008,40.909329,125.607217,519.356719,-393.749502,1.90314,7.869041,-5.965902,111.968594,1.696494,5901.265099,0.958333,23,0,0,1,42,0.041667,1,1,0.958333,0.978723,0.967495,1,1,0.909091,0.025343,0.974657,0.090909,0.911809,0.909091,0.909543,0.882581,0.975158,0.964023,0.888229,0.909091,0.001,0.002,0,0,0,0,9903,136829,17749,96.969697,28.030303,?,?,?,?,?,?,?,?,?,?,?,?,?,?
